price,area,bedrooms,bathrooms,stories,parking,mainroad_yes,guestroom_yes,basement_yes,hotwaterheating_yes,airconditioning_yes,prefarea_yes,furnishingstatus_semi-furnished,furnishingstatus_furnished
1.03,-0.3216542903733277,-0.16625886034634157,-0.19045098681609532,0.34647802955744084,0.7722505017447289,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.821,-0.030619932170462875,-0.38618070011681077,-0.11747189675691667,1.6178072867995743,-0.09843988831425382,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.726,0.15034880060245243,0.08764093370442612,-0.23540039843075683,-1.957806249193926,-0.45077808875394354,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.934,-1.0149466636578153,-0.5764420316082498,-0.13267021619923905,0.5848522652903408,-0.006602362385111636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.965,-0.16658335181922398,0.33928169076883136,0.07920537268056427,1.1410588153337744,-0.48698326724524,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.648,1.448607330303204,0.34482964355072343,-0.18555853385123403,-0.6864769919517926,1.1210564896486823,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1.573,-0.7113845106905659,-0.437990839071571,-0.04628172701590979,-0.05081236333072586,-0.06223470982295738,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.00001,2.167902773392759,0.2521137880782092,-0.30014535973881207,0.6643103438679743,-0.3766016255034826,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1.398,-1.2478688982477368,-0.7309370332568754,-0.170074035177387,-1.8783481706162928,-0.5355511896116133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.156,1.3453846179798512,0.5259600636852796,-0.1394105637534406,-1.8783481706162928,7.065770187292771,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2.319,0.18214202765156287,0.12678899089713916,0.11684259738170155,1.8561815225324745,-0.6821380098446671,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.594,-0.8634550950363926,-0.8840584212931845,-0.053536263289619496,-0.28918659906362587,0.25124915272363374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,-0.5240992427423307,0.42894561051952396,0.2550273834091893,-1.242683541995226,-0.5964818558530633,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
